siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
390822377,00029,39082237700029,O,2007-06-05,NN,,,2025-12-05T16:11:19.243,true,A,O,,1993-04-01,6540,SCI CHARLES,,,,,,,,,,,68.20B,NAFRev2,,N,,NN,,00029,2025-12-06T06:44:22.703,,,,48,,,AVENUE,DE LA REPUBLIQUE,93420,VILLEPINTE,,93078,,,930780770_B,667612.4105478078,6872202.934707723,A,,,,,68.20B,NAFRev2,N,68.20H
390972412,00048,39097241200048,O,2017-12-22,NN,,,2025-12-05T20:50:08.597,true,A,O,,1993-04-23,1000,,,F,GARDET,GARDET DEPONT,EVELYNE,,,,EVELYNE,,47.89Z,NAFRev2,,,,NN,,00048,2025-12-06T08:16:18.879,PME,2023,,77,,,RUE,PAUL LAFARGUE,93420,VILLEPINTE,,93078,,,930781050_B,667031.2047904503,6872201.548053994,A,,,,,47.89Z,NAFRev2,N,47.12H
391130630,00026,39113063000026,O,2014-10-07,01,2023,,2025-12-06T03:47:05.922,true,A,O,,1990-12-01,9220,ASSOCIATION PARIS NORD 2 ENTREPRISES,APN2E,,,,,,,,,,94.99Z,NAFRev2,W932000625,O,,01,2023,00026,2025-12-06T08:00:24.434,PME,2023,,102,,,AVENUE,DES NATIONS,93420,VILLEPINTE,,93078,,,930780962_B,664406.1843707473,6875081.933467154,A,,,,,94.99Z,NAFRev2,O,94.99Y
391371879,00019,39137187900019,O,1993-05-20,NN,,,2025-12-06T04:45:24.084,true,A,O,,1993-05-20,6540,SCI FRATELLI,,,,,,,,,,,68.20B,NAFRev2,,,,NN,,00019,2025-12-06T06:45:51.349,,,,5,,,AVENUE,DE LA REPUBLIQUE,93420,VILLEPINTE,,93078,,,930780770_B,667767.6998594985,6871955.078572686,A,,,,,68.20B,NAFRev2,N,68.20H
391731528,00025,39173152800025,O,2013-05-13,NN,,,2025-12-06T03:04:33.545,true,A,O,,1993-06-28,6541,LA BUTTE DE LA FERME,,,,,,,,,,,68.20B,NAFRev2,,,,NN,,00025,2025-12-06T10:39:11.679,PME,2023,,13,,,AVENUE,GUY MOQUET,93420,VILLEPINTE,,93078,,,930780646_B,665575.4134779022,6874149.596396681,A,,,,,68.20B,NAFRev2,N,68.32G
391885837,00016,39188583700016,O,1993-06-01,NN,,,2025-12-05T18:44:22.63,true,A,O,,1993-06-01,6540,SCI DES LILAS,,,,,,,,,,,68.20B,NAFRev2,,,,NN,,00016,2025-12-06T06:56:54.612,,,,2,,,RUE,DES LILAS,93420,VILLEPINTE,,93078,,,930780815_B,667155.3178294406,6871975.760724504,A,,,,,68.20B,NAFRev2,N,68.20H
391933538,00053,39193353800053,O,2025-05-01,NN,,,2025-12-05T22:39:15.007,true,A,O,,1993-07-13,5710,GATES SAS,,,,,,,,,,,22.19Z,NAFRev2,,,,22,2023,00053,2025-12-06T05:39:25.529,ETI,2023,BATIMENT REGUS HQ,18,,,PLACE,DES NYMPHEAS,93420,VILLEPINTE,,93078,,,930780989_B,664181.16,6874990.46,A,,,,GATES SAS,22.19Z,NAFRev2,N,22.12Y
392041844,00029,39204184400029,O,1998-12-01,NN,,,2025-12-05T15:19:02.741,false,A,O,,1993-06-21,5499,SARL SCMD,,,,,,,,,,,43.99C,NAFRev2,,,,03,2023,00037,2025-12-06T06:22:41.86,PME,2023,,61,,,BOULEVARD,ROBERT BALLANGER,93420,VILLEPINTE,,93078,,,930781198_B,665594.1030133337,6872626.609951555,A,,,,,43.99C,NAFRev2,O,43.91Y
392053872,00025,39205387200025,O,1998-12-18,01,2023,2893ZZ,2025-12-05T23:52:04.395,true,A,O,,1993-09-01,1000,,,M,RODRIGUEZ,,DIEGO,,,,DIEGO,,33.20B,NAFRev2,,,,01,2023,00025,2025-12-06T07:13:07.933,PME,2023,,5,,,ROUTE,DE TREMBLAY,93420,VILLEPINTE,,93078,,,930781360_B,666161.7285362419,6873918.60342469,A,,,,,33.20B,NAFRev2,O,33.20Y
392130282,00024,39213028200024,O,2025-10-23,NN,,,2025-11-21T15:43:28.329,true,A,O,,1992-08-01,9220,ASSOCIATION FRANCAISE DU SOUDAGE,,,,,,,,,,,71.12B,NAFRev2,W932000796,O,,NN,,00024,2025-12-06T10:08:09.771,PME,2023,RENAN,45,,,RUE,DES 3 SOEURS,93420,VILLEPINTE,,93078,,,930781363_B,664100.03,6874610.52,A,,,,,71.12B,NAFRev2,N,71.12Y
392306767,00014,39230676700014,O,1992-01-01,NN,,,2025-12-06T03:38:43.808,true,A,O,,1992-01-01,1000,,,M,LAPORTA,,MARIO,,,,MARIO,,68.20B,NAFRev2,,,,NN,,00014,2025-12-06T06:18:47.975,PME,2023,,24,,,AVENUE,DE LA PLAINE,93420,VILLEPINTE,,93078,,,930781120_B,667486.1908778688,6872160.494939037,A,,,,,68.20B,NAFRev2,N,68.20H
392315263,00047,39231526300047,O,1999-10-06,NN,,,2025-12-05T16:19:40.376,false,A,O,,1993-09-07,5499,JYM-DESS,,,,,,,,,,,18.13Z,NAFRev2,,,,NN,,00039,2025-12-06T05:20:37.115,PME,2023,,15,,,RUE,GUSTAVE COURBET,93420,VILLEPINTE,,93078,,,930780635_B,666624.8794032295,6874212.725460866,A,,,,,18.13Z,NAFRev2,N,18.13Y
392456752,00014,39245675200014,O,1992-01-01,NN,,,2025-12-05T21:36:38.186,true,A,O,,1992-01-01,1000,,,M,VO TANH,,TONG,,,,TONG,,49.32Z,NAFRev2,,,,NN,,00014,2025-12-06T10:35:36.563,PME,2023,,12,,,RUE,LE CORBUSIER,93420,VILLEPINTE,,93078,,,930780804_B,667154.7908824122,6872875.979635153,A,,,,,49.32Z,NAFRev2,N,49.33G
392461893,00019,39246189300019,O,1993-05-03,NN,,4932ZA,2025-12-05T19:30:38.414,true,A,O,,1993-05-03,1000,,,M,BOISSIERE,,GILBERT,ALAIN,GASTON,,GILBERT,,49.32Z,NAFRev2,,,,NN,,00019,2025-12-06T08:15:51.496,PME,2023,,16,,,AVENUE,DES TILLEULS,93420,VILLEPINTE,,93078,,,930781340_B,666728.2047798694,6872344.0704639945,A,,,,,49.32Z,NAFRev2,N,49.33G
392502803,00027,39250280300027,O,1998-02-03,NN,,,2025-12-05T23:39:09.237,true,A,O,,1993-09-10,6540,SCI LA PICARDIE,,,,,,,,,,,68.20B,NAFRev2,,N,,NN,,00027,2025-12-06T06:07:16.963,ETI,2023,,11,,,ROUTE,DE TREMBLAY,93420,VILLEPINTE,,93078,,,930781360_B,666186.8288454451,6873941.03178327,A,,,,,68.20B,NAFRev2,N,68.20H
392508784,00015,39250878400015,O,1993-09-20,NN,,,2025-12-06T00:03:21.364,true,A,O,,1993-09-20,6541,LA NEUVILLE,,,,,,,,,,,41.10D,NAFRev2,,,,NN,,00015,2025-12-06T05:49:33.1,PME,2023,,138,,,BOULEVARD,ROBERT BALLANGER,93420,VILLEPINTE,,93078,,,930781198_B,666060.615985034,6872847.156537766,A,,,,,41.10D,NAFRev2,N,68.32G
392785804,00015,39278580400015,O,1992-10-01,NN,,,2025-12-06T04:48:14.384,true,A,O,,1992-10-01,1000,,,M,LAME,,SAMUEL,,,,SAMUEL,,86.21Z,NAFRev2,,,,NN,,00015,2025-12-06T06:27:46.417,PME,2023,CENTRE DE RADIOLOGIE,11,,,AVENUE,AUGUSTE BLANQUI,93420,VILLEPINTE,,93078,,,930780050_B,667917.5709493626,6871956.135783731,A,,,,,86.21Z,NAFRev2,N,86.21Y
392936530,00048,39293653000048,O,2025-01-21,NN,,,2025-12-06T04:50:01.27,true,A,O,,1993-10-01,5710,AMBULANCES ALIZE,,,,,,,,,,,86.90A,NAFRev2,,N,,12,2023,00048,2025-12-06T07:32:20.431,PME,2023,,2,,,AVENUE,CHARLES DE GAULLE,93420,VILLEPINTE,,93078,,,930780274_B,667831.99,6873281.53,A,,,,,86.90A,NAFRev2,N,86.92Y
392943031,00014,39294303100014,O,1993-01-01,NN,,,2025-12-05T17:48:55.884,true,A,O,,1993-01-01,9220,ASS SYNDICAT DE COPROPRIETAIRES,,,,,,,,,,,94.99Z,NAFRev2,,O,,NN,,00014,2025-12-06T09:46:24.965,,,RES LE FOND DE PRESLES,,,,AVENUE,PAUL VAILLANT COUTURIER,93420,VILLEPINTE,,93078,,,930781060_B,665835.0080311989,6873224.921155702,A,,,,,94.99Z,NAFRev2,N,94.99Y
392975637,00159,39297563700159,O,2017-09-30,02,2023,,2025-12-05T17:14:54.909,false,A,O,,1993-10-22,5710,A.F.C.I,,,,,,,,,,,85.59A,NAFRev2,,N,,21,2023,00043,2026-02-11T18:31:57.826,PME,2023,,66,,,RUE,DES VANESSES,93420,VILLEPINTE,,93078,,,930781367_B,663715.090850247,6875163.298267419,A,,,,,85.59A,NAFRev2,O,85.59G
392995502,00011,39299550200011,O,1993-01-01,NN,,,2025-12-05T20:59:09.145,true,A,O,,1993-01-01,9220,ASS CERCLE D ETUDES DE LA MATERNITE,,,,,,,,,,,94.99Z,NAFRev2,,O,,NN,,00011,2025-12-06T11:09:03.58,,,CENTRE HOSPITALIER,,,,BOULEVARD,ROBERT BALLANGER,93420,VILLEPINTE,,93078,,,930781198_B,666590.5105370906,6873105.184833282,A,,,,,94.99Z,NAFRev2,N,94.99Y
393149695,00016,39314969500016,O,1993-10-26,NN,,,2025-12-05T18:22:51.57,true,A,O,,1993-10-26,6540,RESIDENCE VICTORIA,,,,,,,,,,,68.20B,NAFRev2,,,,NN,,00016,2025-12-06T09:13:47.328,,,,124,,,BOULEVARD,ROBERT BALLANGER,93420,VILLEPINTE,,93078,,,930781198_B,665960.9240948616,6872794.585592524,A,,,,,68.20B,NAFRev2,N,68.20H
393176102,00134,39317610200134,O,2024-10-01,NN,,,2025-12-06T01:28:07.883,false,A,O,,1993-12-03,5710,PROMARITIME INTERNATIONAL,,,,,,,,,,,52.29B,NAFRev2,,N,,12,2023,00050,2026-05-01T13:10:59.119,PME,2023,,22,,,AVENUE,DES NATIONS,93420,VILLEPINTE,,93078,,,930780962_B,664007.71,6874941.72,A,,,,,52.29B,NAFRev2,O,52.25Y
393368055,00041,39336805500041,O,2022-01-15,03,2023,,2025-12-05T17:21:58.792,true,A,O,,1993-12-31,5710,PRISMA FORMATIONS,,,,,,,,,,,85.59A,NAFRev2,,N,,03,2023,00041,2025-12-06T09:27:05.391,PME,2023,BATIMENT ETOILE,40,,,AVENUE,DES NATIONS,93420,VILLEPINTE,,93078,,,930780962_B,664556.9324514741,6875227.024935515,A,,,,,85.59A,NAFRev2,N,85.59G
393374657,00046,39337465700046,O,2002-10-01,03,2023,,2025-12-05T23:59:17.854,false,A,O,,1994-01-10,5599,AMBLARD,,,,,,,,,,,46.23Z,NAFRev2,,N,,11,2023,00053,2026-01-16T12:00:33.269,PME,2023,255 BD ROBERT BALLANGER,3,,,ALLEE,DU SANGLIER,93420,VILLEPINTE,,93078,,,930781264_B,667444.9903890133,6873650.008584632,A,,,,,46.23Z,NAFRev2,O,46.23Y
393534698,00013,39353469800013,O,1993-07-01,NN,,,2025-12-05T15:59:05.437,true,A,O,,1993-07-01,9220,ASS FACILOG INFORMATIQUE,,,,,,,,,,,62.02A,NAFRev2,,O,,NN,,00013,2025-12-06T10:51:51.949,PME,2023,,13,,,RUE,DES MESANGES,93420,VILLEPINTE,,93078,,,930780910_B,665531.8921984005,6873518.417239666,A,,,,,62.02A,NAFRev2,N,62.20G
393746847,00010,39374684700010,O,1994-01-08,NN,,,2025-12-05T15:58:15.604,true,A,O,,1994-01-08,6540,SCI RUELLE ROGER,,,,,,,,,,,68.20B,NAFRev2,,,,NN,,00010,2025-12-06T06:15:07.475,,,,35,,,BOULEVARD,CIRCULAIRE,93420,VILLEPINTE,,93078,,,930780320_B,667563.8122164895,6872131.034288115,A,,,,,68.20B,NAFRev2,N,68.20H
393841150,00013,39384115000013,O,1994-01-01,NN,,,2025-12-06T04:40:09.181,true,A,O,,1994-01-01,6540,SCI LES TOURTERELLES,,,,,,,,,,,68.20B,NAFRev2,,,,NN,,00013,2025-12-06T06:28:15.894,,,,21,,,AVENUE,PHILIPPE DE GIRARD,93420,VILLEPINTE,,93078,,,930781090_B,666601.6051350242,6873010.038706302,A,,,,,68.20B,NAFRev2,N,68.20H
393923008,00030,39392300800030,P,2019-01-03,NN,,,2025-12-05T20:30:48.072,true,A,P,,1994-02-07,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],82.99Z,NAFRev2,,,,NN,,00030,2025-12-06T05:58:28.65,PME,2023,[ND],[ND],[ND],[ND],[ND],[ND],[ND],VILLEPINTE,,93078,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],82.99Z,NAFRev2,N,96.40Y
393960026,00010,39396002600010,P,1994-01-04,NN,,,2025-12-05T22:49:10.175,true,A,P,,1994-01-04,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],68.20A,NAFRev2,,,,NN,,00010,2025-12-06T05:49:54.873,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],VILLEPINTE,,93078,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],68.20A,NAFRev2,N,68.20G
394181119,00022,39418111900022,O,2002-09-13,02,2023,,2025-12-05T23:21:28.047,true,A,O,,1994-01-21,1000,,,M,ADMANTA,,ALI,,,,ALI,,56.10A,NAFRev2,,,,02,2023,00022,2025-12-06T09:23:32.745,PME,2023,,10,,,PLACE,DE LA GARE,93420,VILLEPINTE,,93078,,,930780580_B,668237.8833703467,6871742.632075885,A,,,,,56.10A,NAFRev2,O,56.11G
394374813,00027,39437481300027,O,2008-12-28,02,2023,,2025-12-06T04:45:59.472,true,A,O,,1993-11-01,9220,VILLEPINTE TENNIS,VT,,,,,,,,,,93.12Z,NAFRev2,W932010619,O,,02,2023,00027,2025-12-06T06:39:11.481,PME,2023,,54,,,RUE,DU MANEGE,93420,VILLEPINTE,,93078,,,930780851_B,665489.7139974236,6873714.95041944,A,,,,,93.12Z,NAFRev2,O,93.12Y
394456768,00024,39445676800024,O,2004-11-01,01,2023,4331ZB,2025-12-06T03:56:36.371,true,A,O,,1994-03-09,5499,IDP ISOLATION DOUBLAGE PLATRERIE,IDP,,,,,,,,,,43.31Z,NAFRev2,,,,01,2023,00024,2025-12-06T09:30:15.267,PME,2023,,5,,,RUE,DES FRAISIERS,93420,VILLEPINTE,,93078,,,930780540_B,667785.5310929235,6871881.916965937,A,,,,,43.31Z,NAFRev2,O,43.31Y
394595813,00038,39459581300038,O,2007-06-11,NN,,,2025-12-05T19:33:42.313,false,A,O,,1994-04-06,1000,,,F,HAGEGE,GAMBA,CORINNE,,,,CORINNE,,96.09Z,NAFRev2,,,,NN,,00046,2025-12-06T09:11:56.634,PME,2023,,15,,,AVENUE,NAPEE,93420,VILLEPINTE,,93078,,,930780960_B,668006.7981788998,6871812.519628067,A,,,,,96.09Z,NAFRev2,N,96.99H
394636690,00015,39463669000015,O,1994-04-01,NN,,,2025-12-06T03:18:00.666,true,A,O,,1994-04-01,6540,SCI PARIS NORD,SCIPN,,,,,,,,,,68.20B,NAFRev2,,N,,NN,,00015,2025-12-06T07:56:28,,,,84,,,AVENUE,PIERRE BEREGOVOY,93420,VILLEPINTE,,93078,,,930781091_B,667091.6356263511,6871996.25100784,A,,,,,68.20B,NAFRev2,N,68.20H
394652549,00020,39465254900020,O,1999-03-04,NN,,4932ZA,2025-12-05T18:43:04.201,true,A,O,,1993-01-01,1000,,,M,ESSID,,FETHI,,,,FETHI,,68.20B,NAFRev2,,,,NN,,00020,2025-12-06T07:02:23.293,PME,2023,ESC A 3ET APT 16,11,,,AVENUE,JACQUES DUCLOS,93420,VILLEPINTE,,93078,,,930780707_B,667051.3737543853,6873208.85446982,A,,,,,68.20B,NAFRev2,O,68.20H
394661508,00017,39466150800017,O,1994-05-01,NN,,,2025-12-05T16:01:43.01,true,A,O,,1994-05-01,5499,AU P'TIT FOUR,,,,,,,,,,,10.71C,NAFRev2,,,,NN,,00017,2025-12-06T08:56:11.379,PME,2023,CENTRE CIAL  LES PYRAMIDES,,,,ALLEE,ANTOINE DE SAINT-EXUPERY,93420,VILLEPINTE,,93078,,,930780037_B,666494.24195,6874071.357153307,A,,,,,10.71C,NAFRev2,N,10.71H
394693709,00021,39469370900021,O,1996-04-20,NN,,4932ZA,2025-12-06T03:57:04.418,true,A,O,,1994-04-11,1000,,,M,HIEN,,DENIS,,,,DENIS,,49.32Z,NAFRev2,,,,NN,,00021,2025-12-06T10:16:11.626,PME,2023,,9,,,RUE,GABRIEL FAURE,93420,VILLEPINTE,,93078,,,930780565_B,666836.5740623856,6874432.70040127,A,,,,,49.32Z,NAFRev2,N,49.33G
394746838,00017,39474683800017,O,1989-01-01,NN,,,2025-12-06T00:27:58.101,true,A,O,,1989-01-01,9220,ASSOCIATION AREP,,,,,,,,,,,72.20Z,NAFRev2,,O,,NN,,00017,2025-12-06T08:17:37.616,PME,2023,,,,,BOULEVARD,ROBERT BALLANGER,93420,VILLEPINTE,,93078,,,930781198_B,666590.5105370906,6873105.184833282,A,,,,,72.20Z,NAFRev2,N,72.20Y
394831143,00026,39483114300026,O,2003-03-28,NN,,4932ZA,2025-12-05T21:09:03.835,true,A,O,,1994-04-07,1000,,,M,SEAN,,LAOS,,,,LAOS,,49.32Z,NAFRev2,,,,NN,,00026,2025-12-06T07:53:44.98,PME,2023,,20,,,AVENUE,MANOUCHIAN,93420,VILLEPINTE,,93078,,,930780857_B,665456.6686284428,6874226.259887184,A,,,,,49.32Z,NAFRev2,N,49.33G
394832497,00074,39483249700074,O,2025-11-05,NN,,,2026-01-27T13:02:54.384,false,A,O,,1994-04-01,3120,YAMATO TRANSPORT EUROPE B.V.,,,,,,,,,,,52.29B,NAFRev2,,N,,03,2023,00066,2026-01-27T13:02:54.377,PME,2023,,14,,,RUE,DE LA PERDRIX,93420,VILLEPINTE,,93078,,,930781068_B,663921.87,6875205.71,A,,,,,49.41A,NAFRev2,O,49.41G
394901136,00017,39490113600017,O,1994-05-03,NN,,,2025-12-06T03:19:11.649,true,A,O,,1994-05-03,5499,CODIRIS,,,,,,,,,,,70.22Z,NAFRev2,,,,NN,,00017,2025-12-06T05:20:28.019,PME,2023,63 A 65,63,,,BOULEVARD,ROBERT BALLANGER,93420,VILLEPINTE,,93078,,,930781198_B,665602.9172662906,6872630.89458177,A,,,,,70.22Z,NAFRev2,N,70.20Y
394917199,00025,39491719900025,O,2010-01-01,NN,,,2025-12-05T23:52:19.562,true,A,O,,1994-04-15,6540,SCI FORTBEL,,,,,,,,,,,68.20B,NAFRev2,,N,,NN,,00025,2025-12-06T07:23:33.623,,,,39,,,ROUTE,DE SEVRAN,93420,VILLEPINTE,,93078,,,930781290_B,665772.6291521393,6872423.154458796,A,,,,,68.20B,NAFRev2,N,68.20H
394992333,00010,39499233300010,O,1994-03-01,NN,,,2026-05-13T16:02:43.173,true,A,O,,1994-03-01,9110,SYND COPRO 32 AV DES AULNES,,,,,,,,,,,81.10Z,NAFRev2,,,,NN,,00010,2026-05-13T17:00:43.082,PME,2023,,32,,,AVENUE,DES AULNES,93420,VILLEPINTE,,93078,,,930780070_B,667342.8308729258,6872364.698884473,A,,,,,81.10Z,NAFRev2,O,94.99Y
395086267,00014,39508626700014,O,1993-01-01,NN,,,2025-12-06T04:20:01.419,true,A,O,,1993-01-01,9220,ASSOCIATION BALLET THEATRE LEMBRE,,,,,,,,,,,94.99Z,NAFRev2,,O,,NN,,00014,2025-12-06T10:52:13.957,,,BAT BOURGOGNE,,,,,LA FONTAINE MALLET,93420,VILLEPINTE,,93078,,,93078B010_C,,,A,,,,,94.99Z,NAFRev2,N,94.99Y
397480930,02185,39748093002185,O,1996-05-29,NN,,,2025-12-05T15:11:32.7,false,A,O,,1994-06-13,5599,BOUYGUES TELECOM,,,,,,,,,,,61.20Z,NAFRev2,,N,,52,2023,03464,2025-12-06T10:47:58.277,GE,2023,,1,,,RUE,EUGENIE COTTON,93420,VILLEPINTE,,93078,,,930780464_B,666802.1359561426,6873038.020219738,A,,,,,61.20Z,NAFRev2,N,61.10Y
397645318,00015,39764531800015,O,1992-06-02,NN,,,2025-12-06T04:42:12.797,true,A,O,,1992-06-02,9220,ASSOCIATION SPORTIVE PARIS NORD II,ASPNII,,,,,,,,,,93.12Z,NAFRev2,,O,,NN,,00015,2025-12-06T10:21:34.575,,,PARIS NORD II,93,,,AVENUE,DES NATIONS,93420,VILLEPINTE,,93078,,,930780962_B,664406.1843707473,6875081.933467154,A,,,,,93.12Z,NAFRev2,N,93.12Y
397696626,00019,39769662600019,O,1991-12-30,NN,,,2025-12-05T19:13:59.555,true,A,O,,1991-12-30,9220,COMITE CROIX MARINE,,,,,,,,,,,94.99Z,NAFRev2,,O,,NN,,00019,2025-12-06T11:04:58.067,,,HOPITAL ROBERT BALLANGER,,,,BOULEVARD,ROBERT BALLANGER,93420,VILLEPINTE,,93078,,,930781198_B,666590.5105370906,6873105.184833282,A,,,,,94.99Z,NAFRev2,N,94.99Y
397700527,00013,39770052700013,O,1994-07-01,NN,,,2025-12-05T17:52:35.941,true,A,O,,1994-07-01,5499,SARL STYLY MARBRES,,,,,,,,,,,46.73A,NAFRev2,,,,NN,,00013,2025-12-06T05:56:33.835,PME,2023,,2,,,AVENUE,FIRMIN DIDOT,93420,VILLEPINTE,,93078,,,930780490_B,667612.1888136534,6872228.73578108,A,,,,,46.73A,NAFRev2,N,46.83G
397742651,00169,39774265100169,O,2024-11-25,NN,,,2025-12-05T17:10:02.745,true,A,O,,1994-07-12,5710,CABINET KUPIEC ET DEBERGH,,,,,,,,,,,71.20B,NAFRev2,,N,,21,2023,00169,2025-12-06T05:43:36.757,PME,2023,IMMEUBLE LE SISLEY PARIS NORD 2,23,,,ALLEE,DES IMPRESSIONNISTES,93420,VILLEPINTE,,93078,,,930780697_B,664247.39,6874962.92,A,CABINET KUPIEC ET DEBERGH,,,CABINET KUPIEC ET DEBERGH,71.20B,NAFRev2,N,71.20H
397850272,00014,39785027200014,O,1994-05-02,NN,,,2025-12-05T19:10:30.555,true,A,O,,1994-05-02,6540,SCI MESNIL-FRANCE,,,,,,,,,,,68.20B,NAFRev2,,,,NN,,00014,2025-12-06T08:48:47.308,,,,6,,,AVENUE,DES FOUGERES,93420,VILLEPINTE,,93078,,,930780520_B,666685.4049582211,6873076.946778568,A,,,,,68.20B,NAFRev2,N,68.20H
397869413,00021,39786941300021,P,2023-02-01,NN,,,2025-12-05T23:08:19.044,true,A,P,,1994-08-25,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],47.99A,NAFRev2,,,,NN,,00021,2025-12-06T09:11:04.524,PME,2023,[ND],[ND],[ND],[ND],[ND],[ND],[ND],VILLEPINTE,,93078,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],47.99A,NAFRev2,N,47.12H
397913740,00049,39791374000049,O,2015-12-01,NN,,,2026-04-29T13:14:17.166,true,A,O,,1994-08-01,1000,,,M,MAOUDJI,,MOKRANE,,,,MOKRANE,,49.32Z,NAFRev2,,,,NN,,00049,2026-04-29T13:14:17.163,PME,2023,,4,,,RUE,ANDRE DE CHENIER,93420,VILLEPINTE,,93078,,,930780028_B,666958.5247434468,6874312.453253288,A,,,,,49.32Z,NAFRev2,N,49.33G
397965872,00013,39796587200013,O,1994-07-15,NN,,4932ZA,2025-12-05T23:08:32.497,true,A,O,,1994-07-15,1000,,,M,JUMMA,,MUHAMMAD,,,,MUHAMMAD,,68.20B,NAFRev2,,,,NN,,00013,2025-12-06T06:36:43.925,PME,2023,,14,,,VILLA,LA BRUYERE,93420,VILLEPINTE,,93078,,,930780235_B,667243.0063372336,6873283.608995613,A,,,,,68.20B,NAFRev2,N,68.20H
397979915,00014,39797991500014,O,1994-08-02,NN,,,2025-12-06T03:18:57.555,true,A,O,,1994-08-02,6540,SCI MRA,,,,,,,,,,,68.20B,NAFRev2,,,,NN,,00014,2025-12-06T09:16:22.226,,,,26,,,RUE,DE L'AVIATION,93420,VILLEPINTE,,93078,,,930780090_B,666034.5771192224,6873189.4936180925,A,,,,,68.20B,NAFRev2,N,68.20H
398006379,00026,39800637900026,O,2001-08-31,NN,,,2025-12-05T16:04:31.494,true,A,O,,1994-07-01,9220,ASSOCIATION GERMINAL-ICTHUS,,,,,,,,,,,85.59B,NAFRev2,,O,,NN,,00026,2025-12-06T08:56:18.399,,,,4,,,AVENUE,PABLO PICASSO,93420,VILLEPINTE,,93078,,,930781008_B,666918.1963035463,6873188.819121209,A,,,,,85.59B,NAFRev2,N,85.59H
398124875,00038,39812487500038,P,2006-01-01,NN,,,2025-12-05T18:31:01.752,true,A,P,,1994-07-02,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],70.10Z,NAFRev2,,,,NN,,00038,2025-12-06T07:05:11.16,PME,2023,[ND],[ND],[ND],[ND],[ND],[ND],[ND],VILLEPINTE,,93078,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],70.10Z,NAFRev2,,70.10Y
398221127,00036,39822112700036,O,2002-07-01,NN,,,2025-12-06T01:12:28.767,true,A,O,,1994-06-20,9220,DADA CLUB,,,,,,,,,,,85.59B,NAFRev2,,O,,NN,,00036,2025-12-06T08:39:07.749,,,,3,,,ALLEE,MONTESQUIEU,93420,VILLEPINTE,,93078,,,930780932_B,667439.0161525817,6873291.2872865675,A,,,,,85.59B,NAFRev2,N,85.59H
398235085,00014,39823508500014,O,1994-09-02,NN,,,2025-12-05T16:48:57.396,true,A,O,,1994-09-02,6540,SCI FPB,,,,,,,,,,,68.20B,NAFRev2,,,,NN,,00014,2025-12-06T06:45:27.701,,,,69,,,AVENUE,ROGER SALENGRO,93420,VILLEPINTE,,93078,,,930781210_B,666515.4066988893,6872415.358686636,A,,,,,68.20B,NAFRev2,N,68.20H
